,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Country
151,Shopkirana,e-commerce,venture - series unknown,2000000,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,India
152,Fric Bergen,fintech,venture - series unknown,1600000,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,India
153,Articbot,artificial intelligence,grant,17541,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,India
154,BuildSupply,enterprise resource planning (erp),series a,3654367,Gurgaon,India’s most advanced ERP system for the real estate,2018,India
155,Fusion Microfinance,banking,series e,76010834,Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,India
156,Any time Doctor,software,angel,1600000,Chennai,Anytime Doctor is a Software company.,2018,India
157,Go Payments,information services,corporate round,1600000,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,India
158,Guiddoo World,audio,seed,800000,Mumbai,We build In-Destination Experiences!,2018,India
159,ION Energy,energy,venture - series unknown,1041000,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,India
160,UnoTag,artificial intelligence,pre-seed,100000,Bengaluru,SaaS to verify counterfeit,2018,India
161,CivilCops,government,pre-seed,100000,Gurgaon,Gov-Tech,2018,India
162,Rockmetric,information technology,grant,1600000,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,India
163,Classworks India,education,seed,1462,Chennai,"Saas, Web App, Mobile App, School Education",2018,India
164,Snapmint,consumer lending,seed,1600000,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,India
165,artbandhu,digital media,pre-seed,15000,Bengaluru,Ai platform for Art and Creative Community,2018,India
166,Survaider,business intelligence,seed,500000,Bengaluru,Stethoscope for customer feedback !,2018,India
167,Credy,credit,seed,1400000,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,India
168,iChamp,e-learning,seed,5000000,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,India
169,Qandle,software,seed,1200000,Gurgaon,A cloud-based HR management and employee engagement platform.,2018,India
170,Avishkaar Box,children,seed,730873,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,India
171,Gegadyne Energy,automotive,angel,1600000,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,India
172,HyperXchange,e-commerce,series a,1000000,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,India
173,Deftouch,fintech,seed,1600000,Bengaluru,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,India
174,Doodhwala,food delivery,seed,2200000,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,India
175,DronaHQ,mobile,angel,500000,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018,India
176,FastFox,rental,series a,1461747,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,India
177,BuyForexOnline,travel,seed,2000000,Bengaluru,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,India
178,Colive.in,consumer,seed,1800000,Bengaluru,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,India
179,Agricxlab Private Limited,b2b,seed,500000,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,India
180,Corefactors,fintech,seed,1600000,Bengaluru,"Corefactors is a leading campaign management, business communication and analytics company.",2018,India
181,Fincash.com,wealth management,seed,150000,Mumbai,A startup in the personal finance space in India .,2018,India
182,Pandorum Technologies,biotechnology,series a,3600000,Bengaluru,Bengaluru based biotech startup.,2018,India
183,Shirsa Labs,education,seed,500000,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,India
184,PetSutra,veterinary,seed,138866,Gurgaon,Gurugram-based Online petcare platform.,2018,India
185,Awaaz De,internet,angel,1600000,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,India
186,PinkBlue,health care,seed,300000,Bengaluru,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,India
187,Eduvanz,finance,angel,500000,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,India
188,Rupeek,financial services,series a,6830000,Bengaluru,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,India
189,Backpacker Panda Holidays Private Limited,tourism,series a,1400000,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,India
190,Shape (School Health and Physical Education),education,seed,200000,Pune,Physical education start up,2018,India
191,Placio,hospitality,seed,2000000,Noida,Placio is a student housing and a complete broker-free platform.,2018,India
192,Aviom India Housing Finance,finance,series a,2192620,Delhi,Delhi based housing finance company.,2018,India
193,GenRobotic,market research,seed,1600000,Trivandrum,A Robotic Company.,2018,India
194,HeyHolidays,tourism,seed,1000000,Bengaluru,"HeyHolidays, a global player in online vacation rentals.",2018,India
195,Pratilipi,digital media,series a,4300000,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018,India
196,SectorQube,consumer electronics,seed,1600000,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018,India
197,Food Memories,food and beverage,seed,1600000,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,India
198,ZAMROO,internet,seed,1600000,Noida,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,India
199,Silversparro Technologies Pvt. Ltd,analytics,seed,300000,Gurgaon,Silversparro is a deep learning technology solution provider.,2018,India
200,Creator’s Gurukul,facilities support services,angel,1600000,Gurgaon,A coworking space provider.,2018,India
201,Emflux Motors,automotive,seed,364846,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,India
202,Tricog Health Services Pvt Ltd,health care,series a,4000000,Bengaluru,Predictive Healthcare Analytics Company,2018,India
203,Scapic,cloud computing,seed,500000,Bengaluru,Virtual/Augmented Reality Start Up .,2018,India
204,6Degree,fashion,seed,400000,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,India
205,Chrysalis (EZ Vidya),education,seed,1600000,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,India
206,Ekincare,medical,series a,1500000,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,India
207,Streo,music streaming,seed,1600000,Gurgaon,"Live stream music from nightclubs, bars & festivals!",2018,India
208,Groww,finance,seed,120000,Kormangala,Groww offers a new way of investing money.,2018,India
209,Cell Propulsion,fintech,seed,102322,Bengaluru,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,India
210,Chezuba,internet,angel,20464,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,India
211,Ontrack Technologies Pvt. Ltd,retail,seed,1600000,Bengaluru,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,India
212,Wealthtrust,finance,seed,500000,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,India
213,Faclon Labs,cloud computing,seed,1600000,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,India
214,Awign Enterprises,business development,seed,730873,Bengaluru,Operations and manpower outsourcing startup,2018,India
215,CollPoll,education,seed,1600000,Bengaluru,World-class Enterprise System for Education.,2018,India
216,Zyla Health,health care,seed,1600000,Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,India
217,Hubhopper,internet,series a,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018,India
218,Rubix108 Technologies,information technology,seed,1000000,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,India
219,Workflexi,human resources,seed,146175,Bengaluru,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,India
220,Streak,financial services,seed,328893,Bengaluru,Algorithmic trading platform.,2018,India
221,Kuants,financial services,seed,73087,Gurgaon,Algorithmic trading platform.,2018,India
222,NiYO Solutions,finance,series a,13200000,Bengaluru,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018,India
223,Hippo Video,customer service,seed,1600000,Chennai,A video recording and sharing software.,2018,India
224,Satvacart,e-commerce,seed,1600000,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,2018,India
225,Daaki,health care,angel,1600000,Bengaluru,Sports Nutrition startup,2018,India
226,Simulanis,training,seed,500000,Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018,India
227,MY CHIRAAG CAB,travel,seed,1000000,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,2018,India
228,WOTU,food and beverage,seed,1600000,Bengaluru,It operates a business-to-business e-commerce portal for food and beverages.,2018,India
229,Flathalt,fintech,angel,50000,Gurgaon,FInd your Customized Home here.,2018,India
230,True Elements,dietary supplements,seed,730873,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018,India
231,Trendlyne Technologies,financial services,seed,200000,Bengaluru,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018,India
